zip,total_population,median_hh_income
01701,32973,40669
01702,38898,20723
01721,18634,66755
01745,554,66222
01749,19947,40782
01752,41391,47770
01760,36274,75577
01770,4404,46756
01772,9867,71271
01776,18926,30168
01778,14070,82992
