hh_ID,door_screens,house_type,concrete_house,water_supply_by_pipe,garbage_management,n_toilets_outside
796,0,Single,0,1,Car,1
797,1,Single,1,1,Car,0
798,0,Single,1,1,Burn,0
799,0,Townhouse,1,1,Car,0
800,0,Single,1,1,Car,0
801,0,Single,1,Unknown,Burn,0
802,0,Single,1,1,Car,0
803,0,Poles,0,1,Car,2
804,1,Single,1,1,Car,1
805,0,Poles,0,0,Burn,1
806,0,Single,1,1,Burn,0
807,0,Single,1,1,Car,0
808,0,Single,1,1,Burn,2
809,0,Single,1,1,Burn,0
810,1,Townhouse,1,1,Car,0
811,0,Poles,0,1,Car,0
812,0,Single,1,1,Car,1
813,1,Single,1,1,Burn,1
814,0,Single,0,1,Car,0
815,0,Single,1,1,Burn,1
816,1,Single,1,1,Burn,0
817,0,Single,1,1,Burn,0
818,0,Single,1,Unknown,Burn,1
819,0,Poles,0,1,Burn,1
820,0,Poles,1,1,Burn,1
821,0,Poles,0,1,Burn,1
822,0,Single,1,1,Burn,0
823,0,Single,1,1,Dump,0
824,0,Single,1,1,Car,0
825,0,Poles,0,1,Burn,1
826,0,Single,1,1,Burn,0
827,0,Poles,0,1,Dump,1
828,0,Single,1,1,Burn,0
829,0,Single,0,1,Burn,0
830,1,Poles,1,1,Burn,2
831,1,Single,1,1,Burn,0
832,0,Single,1,1,Burn,0
833,1,Single,1,1,Burn,0
834,0,Single,1,1,Car,0
835,0,Single,1,1,Burn,0
836,0,Single,1,1,Burn,2
837,0,Single,1,1,Car,1
838,0,Single,1,1,Burn,1
839,0,Single,1,1,Dump,0
840,0,Poles,1,1,Car,1
841,0,Single,1,1,Car,0
842,0,Single,1,1,Burn,0
843,0,Single,1,1,Car,0
844,1,Single,1,1,Car,1
845,0,Single,1,1,Car,0
846,1,Single,1,1,Car,0
847,0,Single,1,1,Car,1
848,0,Single,1,1,Car,0
849,0,Single,0,1,Car,1
850,1,Single,1,1,Car,0
851,0,Single,1,1,Car,0
852,0,Single,1,1,Burn,0
853,0,Single,0,1,Burn,1
854,0,Single,1,1,Car,0
855,0,Single,0,1,Burn,0
856,0,Single,0,1,Car,1
857,1,Single,1,1,Car,0
858,0,Townhouse,1,1,Car,0
859,0,Single,1,1,Burn,2
860,1,Single,1,Unknown,Burn,1
861,0,Single,1,1,Car,0
862,0,Poles,1,1,Burn,0
863,0,Poles,0,1,Car,1
864,0,Single,1,1,Dump,0
865,1,Townhouse,1,1,Car,0
866,1,Single,1,1,Car,0
867,0,Single,1,1,Car,0
868,0,Single,1,1,Car,1
869,0,Townhouse,1,1,Car,0
870,0,Poles,0,1,Car,0
871,0,Townhouse,1,1,Car,0
872,0,Single,1,1,Car,1
873,0,Poles,0,1,Burn,1
874,0,Single,1,1,Burn,0
875,0,Poles,0,1,Burn,1
876,0,Single,1,1,Car,0
877,0,Single,0,Unknown,Burn,1
878,0,Single,0,1,Burn,2
879,0,Single,1,1,Car,0
880,1,Single,1,1,Car,0
881,0,Single,0,Unknown,Burn,0
882,0,Single,1,1,Car,0
883,0,Poles,1,1,Burn,0
884,0,Single,1,1,Dump,0
885,1,Single,1,1,Dump,0
886,1,Single,1,1,Car,0
887,1,Single,1,1,Burn,0
888,0,Single,1,1,Car,0
889,0,Single,1,1,Car,2
890,1,Single,1,1,Car,0
891,0,Single,1,1,Burn,1
892,0,Single,1,Unknown,Burn,1
893,0,Single,0,1,Burn,0
894,0,Single,1,1,Car,0
895,1,Single,1,1,Car,1
896,1,Single,1,1,Car,0
897,0,Single,1,1,Car,0
898,0,Single,1,1,Burn,0
899,0,Single,1,Unknown,Burn,0
900,0,Poles,1,1,Burn,0
901,0,Single,0,1,Burn,1
902,0,Single,1,1,Burn,2
903,1,Single,1,1,Burn,0
904,0,Single,0,1,Burn,1
905,0,Single,0,1,Burn,0
906,0,Single,1,1,Burn,0
907,0,Single,1,1,Car,0
908,0,Single,0,1,Burn,1
909,0,Single,1,Unknown,Burn,0
910,0,Single,1,1,Burn,0
911,0,Poles,0,1,Burn,0
912,0,Single,0,1,Burn,0
913,0,Single,0,1,Car,1
914,1,Single,1,1,Dump,0
915,0,Single,1,Unknown,Car,0
916,0,Townhouse,1,1,Car,0
917,0,Single,1,1,Burn,0
918,0,Single,1,1,Burn,1
919,0,Single,0,1,Car,0
920,0,Single,1,1,Car,0
921,0,Single,1,1,Burn,1
922,0,Poles,0,1,Burn,0
923,0,Single,1,1,Car,0
924,0,Poles,0,1,Car,1
925,0,Single,1,1,Car,0
926,1,Single,1,1,Car,0
927,0,Single,0,1,Burn,0
928,0,Townhouse,1,1,Car,1
929,1,Single,1,1,Car,0
930,0,Single,1,1,Dump,0
931,1,Poles,1,1,Car,1
932,0,Single,1,1,Car,0
933,0,Single,0,1,Dump,1
934,0,Poles,0,1,Burn,2
935,0,Single,1,1,Burn,0
936,0,Single,1,1,Burn,1
937,0,Single,1,1,Burn,0
938,0,Poles,1,1,Car,0
939,0,Single,0,1,Burn,0
940,0,Single,1,1,Burn,0
941,0,Single,0,1,Car,1
942,0,Single,1,1,Dump,0
943,0,Single,1,1,Burn,2
944,0,Single,1,1,Car,1
945,1,Single,1,1,Car,2
946,0,Poles,1,Unknown,Car,0
947,0,Single,1,Unknown,Burn,0
948,0,Single,1,1,Car,0
949,0,Single,0,Unknown,Dump,0
950,1,Single,1,1,Car,0
951,0,Poles,0,1,Burn,1
952,0,Single,1,1,Burn,1
