hh_ID,door_screens,house_type,concrete_house,water_supply_by_pipe,garbage_management,n_toilets_outside
183,0,Poles,0,1,Car,1
184,0,Single,1,1,Burn,0
185,0,Single,1,1,Burn,1
186,0,Single,0,1,Burn,1
187,0,Single,0,1,Burn,0
188,0,Single,1,1,Car,0
189,1,Single,1,1,Car,0
190,0,Single,1,1,Burn,0
191,1,Single,1,1,Burn,0
192,0,Single,1,1,Car,1
193,0,Single,1,1,Burn,1
194,0,Single,1,1,Car,0
195,0,Single,0,Unknown,Car,1
196,0,Single,0,1,Burn,1
197,0,Single,1,1,Burn,1
198,0,Single,1,1,Burn,0
199,0,Poles,0,1,Burn,1
200,0,Single,1,1,Burn,0
201,0,Poles,0,1,Burn,1
202,0,Single,1,1,Burn,1
203,0,Poles,1,1,Car,1
204,0,Single,0,1,Car,1
205,0,Single,1,1,Car,0
206,0,Single,1,1,Car,1
207,1,Single,1,1,Car,1
208,0,Single,0,1,Car,1
209,0,Single,1,1,Dump,1
210,1,Single,1,1,Car,0
211,0,Single,1,1,Burn,0
212,0,Single,1,1,Burn,1
213,0,Single,1,1,Car,0
214,1,Single,1,1,Car,0
215,0,Single,1,1,Car,1
216,0,Single,1,1,Burn,1
217,0,Single,0,1,Car,0
218,1,Single,1,1,Car,0
219,1,Single,1,1,Burn,1
220,0,Poles,0,1,Car,1
221,1,Single,1,1,Burn,1
222,0,Poles,0,1,Car,1
223,1,Single,1,1,Burn,0
224,0,Single,1,1,Burn,0
225,1,Single,1,1,Burn,1
226,0,Single,1,1,Burn,0
227,0,Single,1,Unknown,Dump,0
228,0,Single,1,Unknown,Dump,1
229,0,Single,1,Unknown,Dump,0
230,0,Single,1,Unknown,Dump,1
231,0,Poles,1,Unknown,Dump,1
232,0,Poles,0,1,Burn,1
233,0,Single,1,1,Burn,0
234,0,Poles,0,1,Burn,1
235,0,Single,1,1,Burn,0
236,0,Poles,0,1,Burn,0
237,1,Single,1,1,Burn,1
238,0,Poles,0,1,Burn,0
239,0,Poles,0,1,Burn,1
240,0,Poles,0,1,Burn,0
241,0,Poles,1,1,Burn,1
242,1,Poles,1,1,Burn,1
243,0,Poles,1,1,Burn,1
244,0,Single,1,1,Burn,1
245,0,Poles,1,1,Burn,1
