measure_name,location_name,fips,race_name,sex_name,age_name,cause_name,year,metric_name,val,upper,lower
Deaths,Fresno County,6019,AIAN,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Fresno County,6019,API,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Glenn County,6021,Total,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Glenn County,6021,Latino,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Glenn County,6021,Black,Both,<1 year,Stomach cancer,2019,Rate,NA,NA,NA
Deaths,Glenn County,6021,White,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Glenn County,6021,AIAN,Both,<1 year,Stomach cancer,2019,Rate,NA,NA,NA
Deaths,Glenn County,6021,API,Both,<1 year,Stomach cancer,2019,Rate,NA,NA,NA
Deaths,Humboldt County,6023,Total,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Humboldt County,6023,Latino,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Humboldt County,6023,Black,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Humboldt County,6023,White,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Humboldt County,6023,AIAN,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Humboldt County,6023,API,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Imperial County,6025,Total,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Imperial County,6025,Latino,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Imperial County,6025,Black,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Imperial County,6025,White,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Imperial County,6025,AIAN,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Imperial County,6025,API,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Inyo County,6027,Total,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Inyo County,6027,Latino,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Inyo County,6027,Black,Both,<1 year,Stomach cancer,2019,Rate,NA,NA,NA
Deaths,Inyo County,6027,White,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Inyo County,6027,AIAN,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Inyo County,6027,API,Both,<1 year,Stomach cancer,2019,Rate,NA,NA,NA
Deaths,Kern County,6029,Total,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Kern County,6029,Latino,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Kern County,6029,Black,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Kern County,6029,White,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Kern County,6029,AIAN,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Kern County,6029,API,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Kings County,6031,Total,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Kings County,6031,Latino,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Kings County,6031,Black,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Kings County,6031,White,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Kings County,6031,AIAN,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Kings County,6031,API,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Lake County,6033,Total,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Lake County,6033,Latino,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Lake County,6033,Black,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Lake County,6033,White,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Lake County,6033,AIAN,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Lake County,6033,API,Both,<1 year,Stomach cancer,2019,Rate,NA,NA,NA
Deaths,Lassen County,6035,Total,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Lassen County,6035,Latino,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Lassen County,6035,Black,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Lassen County,6035,White,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Lassen County,6035,AIAN,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Lassen County,6035,API,Both,<1 year,Stomach cancer,2019,Rate,NA,NA,NA
Deaths,Los Angeles County,6037,Total,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Los Angeles County,6037,Latino,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Los Angeles County,6037,Black,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Los Angeles County,6037,White,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Los Angeles County,6037,AIAN,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Los Angeles County,6037,API,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Madera County,6039,Total,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Madera County,6039,Latino,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Madera County,6039,Black,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Madera County,6039,White,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Madera County,6039,AIAN,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Madera County,6039,API,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Marin County,6041,Total,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Marin County,6041,Latino,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Marin County,6041,Black,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Marin County,6041,White,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Marin County,6041,AIAN,Both,<1 year,Stomach cancer,2019,Rate,NA,NA,NA
Deaths,Marin County,6041,API,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Mariposa County,6043,Total,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Mariposa County,6043,Latino,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
Deaths,Mariposa County,6043,Black,Both,<1 year,Stomach cancer,2019,Rate,NA,NA,NA
Deaths,Mariposa County,6043,White,Both,<1 year,Stomach cancer,2019,Rate,0,0,0
